ASV_ID	taxonomy
ASV_10180	Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Ochroconis;NA
ASV_10181	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;terrestris
ASV_10182	Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariales_fam_Incertae_sedis;Oliveonia;NA
ASV_10183	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Knufia;NA
ASV_10184	Fungi;Ascomycota;Leotiomycetes;Helotiales;Ploettnerulaceae;Cadophora;NA
ASV_10187	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria;californica
ASV_10188	Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;NA;NA;NA
ASV_10189	Fungi;Basidiomycota;Agaricomycetes;Polyporales;Meripilaceae;Rigidoporus;sanguinolentus
ASV_10190	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10191	Fungi;Ascomycota;Sordariomycetes;Xylariales;Amphisphaeriaceae;Microdochium;trichocladiopsis
ASV_10195	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Mycenella;trachyspora
ASV_10196	Fungi;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Connersia;NA
ASV_10197	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavulinopsis;NA
ASV_102	Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma;applanatum
ASV_1020	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;megacystidiosus
ASV_10200	Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliales_fam_Incertae_sedis;Lecophagus;longisporus
ASV_10205	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Entomortierella;beljakovae
ASV_10206	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10207	Fungi;NA;NA;NA;NA;NA;NA
ASV_10209	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Stephanosporaceae;Lindtneria;NA
ASV_1021	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius;fluens
ASV_10211	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10212	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;Leucothecium;emdenii
ASV_10213	Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliales_fam_Incertae_sedis;Lecophagus;NA
ASV_10214	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis;semitalis
ASV_10217	Fungi;Ascomycota;Lecanoromycetes;NA;NA;NA;NA
ASV_10219	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiales_fam_Incertae_sedis;Arthrocatena;NA
ASV_1022	Fungi;Ascomycota;Leotiomycetes;Helotiales;Leptodontidiaceae;Leptodontidium;NA
ASV_10221	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10223	Fungi;Basidiomycota;Agaricomycetes;Tremellodendropsidales;NA;NA;NA
ASV_10226	Fungi;Ascomycota;Sordariomycetes;Thyridiales;Thyridiaceae;Thyridium;NA
ASV_10228	Fungi;Chytridiomycota;NA;NA;NA;NA;NA
ASV_10229	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;NA
ASV_10235	Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;NA;NA
ASV_10237	Fungi;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;NA
ASV_10238	Fungi;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Graphis;scripta
ASV_10239	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_1024	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10242	Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;NA;NA;NA
ASV_10243	Fungi;Basidiomycota;GS27;GS27;NA;NA;NA
ASV_10244	Fungi;Ascomycota;NA;NA;NA;NA;NA
ASV_10245	Fungi;Chytridiomycota;Rhizophydiomycetes;Rhizophydiales;NA;NA;NA
ASV_10248	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_1025	Fungi;Ascomycota;Sordariomycetes;Diaporthales;Valsaceae;Cytospora;galegicola
ASV_10256	Fungi;Ascomycota;Sordariomycetes;Microascales;Halosphaeriaceae;Halosarpheia;NA
ASV_10259	Fungi;Ascomycota;Eurotiomycetes;Onygenales;NA;NA;NA
ASV_10261	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10263	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Bolbitiaceae;Conocybe;parapilosella
ASV_10264	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;cincinnata
ASV_10266	Fungi;Ascomycota;Sordariomycetes;Pisorisporiales;Pisorisporiaceae;Achroceratosphaeria;NA
ASV_10268	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10269	Fungi;Ascomycota;Eurotiomycetes;Verrucariales;NA;NA;NA
ASV_1027	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia;hyalina
ASV_10271	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10273	Fungi;Rozellomycota;NA;NA;NA;NA;NA
ASV_10274	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;juncinum
ASV_10275	Fungi;Calcarisporiellomycota;Calcarisporiellomycetes;Calcarisporiellales;Calcarisporiellaceae;Calcarisporiella;NA
ASV_1028	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hymenogastraceae;Hymenogaster;luteus
ASV_10280	Fungi;Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta;NA
ASV_10282	Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;NA;NA
ASV_10283	Fungi;Rozellomycota;NA;NA;NA;NA;NA
